Date,Open,High,Low,Close,SMA50,SMA200,SPY_Open
7/20/2007,1253.060059,1254.420044,1239.25,1242.430054,1169.271797,1116.944194,154.889999
7/23/2007,1249.790039,1252.630005,1240.689941,1241.349976,1171.496597,1117.741667,154.179993
7/24/2007,1235.030029,1245.390015,1221.390015,1224.680054,1173.041997,1118.422803,153.119995
7/25/2007,1233.959961,1234.569946,1218.420044,1229.25,1174.822998,1119.124241,152.020004
7/26/2007,1211.069946,1222.609985,1186.819946,1205.439941,1176.408997,1119.667107,150.190002
7/27/2007,1206.530029,1211.109985,1184.079956,1184.119995,1177.368396,1120.069938,148.210007
7/30/2007,1189.01001,1203.310059,1184.339966,1198.540039,1178.725198,1120.55733,145.929993
7/31/2007,1211.550049,1211.550049,1173.76001,1173.810059,1179.4076,1120.88605,148.330002
8/1/2007,1169.25,1182.420044,1159.719971,1181.459961,1180.155,1121.257669,145.179993
8/2/2007,1183.540039,1191.569946,1176.780029,1189.130005,1180.9672,1121.671525,146.759995
8/3/2007,1185.790039,1186.369995,1151.930054,1151.930054,1181.263801,1121.85491,147.279999
8/6/2007,1160.089966,1169.699951,1148.180054,1169.699951,1182.3578,1122.143133,144.210007
8/7/2007,1162.439941,1178.579956,1151.839966,1170.829956,1183.267,1122.434671,145.940002
8/8/2007,1182.180054,1203.430054,1182.180054,1195.48999,1184.493999,1122.869524,148.410004
8/9/2007,1179.329956,1200.660034,1168.640015,1168.640015,1185.027,1123.140356,147.429993
8/10/2007,1157.819946,1176.400024,1147,1164.23999,1185.2722,1123.382118,144.389999
8/13/2007,1173.209961,1176.109985,1164.920044,1165.949951,1185.488999,1123.631053,146.5
8/14/2007,1169.579956,1172.119995,1145.079956,1145.079956,1185.195999,1123.755756,145.699997
8/15/2007,1139.699951,1153.420044,1122.650024,1123.140015,1184.496199,1123.752197,142.720001
8/16/2007,1117.390015,1126.369995,1090.51001,1115.02002,1183.832998,1123.702012,139.789993
8/17/2007,1135.060059,1142.459961,1118.150024,1142.180054,1184.138198,1123.8076,145.5
8/20/2007,1142.22998,1152.839966,1137.27002,1149.390015,1184.195398,1123.952955,145.169998
8/21/2007,1145.209961,1158.209961,1143.599976,1153.800049,1184.311399,1124.121583,144.600006
8/22/2007,1162.390015,1171.410034,1161.069946,1170.619995,1184.909399,1124.38281,146.009995
8/23/2007,1172.52002,1173.130005,1158.48999,1165.76001,1185.0896,1124.613967,147.339996
8/24/2007,1161.089966,1177.890015,1158.640015,1177.890015,1185.371799,1124.909945,146.479996
8/27/2007,1173.359985,1174.939941,1165.819946,1169.359985,1185.274199,1125.155526,147.850006
8/28/2007,1162,1165.25,1141.26001,1141.5,1184.6102,1125.24533,146.160004
8/29/2007,1151.209961,1173.099976,1149.920044,1172.660034,1184.618401,1125.504427,144.369995
8/30/2007,1167,1187.829956,1165.380005,1176.939941,1184.9296,1125.783968,145.449997
8/31/2007,1192.170044,1195.380005,1185.540039,1192.910034,1185.176001,1126.146812,147.649994
9/4/2007,1193.01001,1222.140015,1193.01001,1214.550049,1186.085603,1126.622098,147.449997
9/5/2007,1209.189941,1211.810059,1194.849976,1201.910034,1186.972603,1127.024707,148.199997
9/6/2007,1208.02002,1210.130005,1196.150024,1205.859985,1187.994202,1127.444044,147.949997
9/7/2007,1191.119995,1191.680054,1174.290039,1179.02002,1188.135403,1127.716932,146.479996
9/10/2007,1189,1193,1168.849976,1179.27002,1188.265603,1127.988265,146.520004
9/11/2007,1187.189941,1200.969971,1184.880005,1197.97998,1188.758203,1128.354713,146.240005
9/12/2007,1196.369995,1207,1190.170044,1191.400024,1188.918804,1128.683074,147.289993
9/13/2007,1199.699951,1199.699951,1190.160034,1193.829956,1189.072803,1129.020623,148.550003
9/14/2007,1186.280029,1195.150024,1184.119995,1193.380005,1189.036604,1129.352372,147.960007
9/17/2007,1189.579956,1190.97998,1181,1186.030029,1188.748604,1129.643027,148.309998
9/18/2007,1193.609985,1219.859985,1189.26001,1219.699951,1189.016602,1130.102501,148.830002
9/19/2007,1226.400024,1231.109985,1216.380005,1223.51001,1189.550002,1130.576651,153.410004
